year,stalpbr,loans,re_loans,agloans,agloans_re,loans_year,re_loans_year,agloans_year,agloans_re_year,loans_d,loans_d_alt,re_loans_d,re_loans_d_alt,agloans_d,agloans_d_alt,agloans_re_d,agloans_re_d_alt,loans_d_year,loans_d_alt_year,re_loans_d_year,re_loans_d_alt_year,agloans_d_year,agloans_d_alt_year,agloans_re_d_year,agloans_re_d_alt_year,total_branches,total_ag_branches,total_ag_branch_deposits
1994,FL,138593258919.02576,101516409694.1493,350215983.357239,700949029.6816493,140611445263.34198,102735784624.23375,382672644.0495007,709615496.0072286,2256764921.3894134,2256764921.3894134,1953164613.5257697,1953164613.5257697,4117999.998057107,4117999.998057107,14568000.224864984,14568000.224864984,2206672478.962402,2206672478.962402,1905535886.9157119,1905535886.9157119,5589750.23846504,5589750.23846504,19739499.927395493,19739499.927395493,4301,12,1210073000
1994,FM,100969076.86986503,31167468.253339615,309373.994233001,51797.76311762068,102307696.58466312,31702982.685335934,292083.3304721382,50996.99867129998,493863.6405648992,493863.6405648992,185001.79295476965,185001.79295476965,76675.4450735389,76675.4450735389,656.8067930495587,656.8067930495587,602671.5758099862,602671.5758099862,296483.9400916945,296483.9400916945,76585.47154024444,76585.47154024444,3441.4876485130985,3441.4876485130985,5,0,0
1994,GA,65258599886.274826,30296706920.60405,536366978.03452635,788168131.7668661,66876585671.20768,30597076008.297405,503502814.79282147,782248149.3341787,597118989.7091804,597118989.7091804,325094145.190502,325094145.190502,5923000.002775057,5923000.002775057,11802000.250834579,11802000.250834579,598831396.1138812,598831396.1138812,318292058.10168916,318292058.10168916,5700083.335260459,5700083.335260459,11206583.578656355,11206583.578656355,2104,80,3713660000
1994,GU,2198358617.8313236,868192326.7267848,5472893.44404682,485068.79463479086,2214275785.580826,874050056.4905728,4615891.41355223,471023.0061044642,56333868.49913545,56333868.49913545,32917409.904322654,32917409.904322654,1100818.9487263598,1100818.9487263598,27502.13279290958,27502.13279290958,56768401.192180336,56768401.192180336,31588762.0046729,31588762.0046729,821953.4480067648,821953.4480067648,39743.84826459771,39743.84826459771,30,0,0
1994,HI,20721137920.942616,13003020923.76021,32888166.58300205,44515673.17284868,21130429082.814182,13293046997.019018,31316805.18729277,43996460.49538354,270553059.931268,270553059.931268,191683137.23834202,191683137.23834202,7647696.1055687405,7647696.1055687405,148510.6566189296,148510.6566189296,282343620.9682955,282343620.9682955,195557753.2342857,195557753.2342857,7638722.043018199,7638722.043018199,846007.89255809,846007.89255809,399,0,0
1994,IA,26051500832.859043,12565538848.496143,3554538590.321315,1910971865.2141032,26584645243.42176,12949031404.480381,3536031850.967548,1923099608.7169962,193441717.04646805,193441717.04646805,79081914.63874932,79081914.63874932,42610997.81273661,42610997.81273661,22920000.000000004,22920000.000000004,190759238.78550684,190759238.78550684,73060453.46386005,73060453.46386005,39234663.9536003,39234663.9536003,17710666.666666664,17710666.666666664,1391,761,34663868000
1994,ID,9119496204.19535,3479532102.8171473,896418000.0000006,44052000,9222649402.541363,3556430263.5880466,876394749.9999994,43499749.99999997,42793660.439932235,42793660.439932235,17045055.563745964,17045055.563745964,11940000,11940000,2053000.0000000005,2053000.0000000005,42208071.043560565,42208071.043560565,17111176.538589515,17111176.538589515,9205249.999999998,9205249.999999998,1723000,1723000,376,29,3595040000
1994,IL,150046113524.92297,78705008494.58044,2242653282.794556,1753631959.295298,152964967520.7273,80885126652.84933,2262880111.9611197,1771340486.0780747,1814597125.331377,1814597125.331377,1029874600.0035117,1029874600.0035117,24438847.83922697,24438847.83922697,19853272.523070905,19853272.523070905,1880579564.839502,1880579564.839502,1060968667.6773485,1060968667.6773485,23589042.36842346,23589042.36842346,20541753.09732712,20541753.09732712,3363,417,17676857000
1994,IN,50557600415.60153,28993318187.63947,958871130.3174708,995761055.2255439,51244046324.637985,29626030469.974323,928385455.2658719,1012027642.9278102,493208915.7328187,493208915.7328187,292801300.6328671,292801300.6328671,20002000.105125632,20002000.105125632,16682999.457261091,16682999.457261091,494555405.7142723,494555405.7142723,287180312.5419033,287180312.5419033,15350833.38589616,15350833.38589616,16855582.842766147,16855582.842766147,2202,128,9253510000
1994,KS,21685680225.750122,12738118388.613071,2253025278.799922,851038358.6825359,22134436188.580563,13136535630.529295,2237444335.5404243,854821488.2069991,264982435.3364532,264982435.3364532,184928195.05783695,184928195.05783695,25560868.855593458,25560868.855593458,14106333.040123148,14106333.040123148,261801278.13257203,261801278.13257203,174741823.22739217,174741823.22739217,28740601.253242873,28740601.253242873,13295562.390014142,13295562.390014142,1191,475,15954227000
1994,KY,33785879849.028023,19655142143.216404,506442282.8363402,853309314.264475,34354623047.665928,19999543026.01886,497994690.2485561,854788876.9795535,303945247.20072484,303945247.20072484,184864020.15823042,184864020.15823042,7814998.937813825,7814998.937813825,9813999.050469931,9813999.050469931,296000649.45486176,296000649.45486176,171341962.42182958,171341962.42182958,6178498.865392045,6178498.865392045,8906165.536082137,8906165.536082137,1480,96,4840403000
1994,LA,21807226534.1988,12003017445.659277,478419047.3522144,220726070.5314528,22687410477.638683,12459386980.393509,421495490.5497377,227124797.50327435,343997392.89174205,343997392.89174205,203385155.18233576,203385155.18233576,12611010.974504352,12611010.974504352,5301999.999999999,5301999.999999999,341047592.4669855,341047592.4669855,200966049.63635457,200966049.63635457,12180257.51607545,12180257.51607545,4900416.666666669,4900416.666666669,1398,57,3278009000
