year,stalpbr,loans,re_loans,agloans,agloans_re,loans_d,loans_d_alt,re_loans_d,re_loans_d_alt,agloans_d,agloans_d_alt,agloans_re_d,agloans_re_d_alt,total_branches,total_ag_branches,total_ag_branch_deposits
2019.3,IN,115778394125.62537,62947165223.64724,1755817825.0977285,3077412721.8451285,1387195772.3700762,881097871.3789122,898626848.0336502,593318963.0565526,22416921.31101851,12838810.138027875,61649629.025169715,43863874.98282008,1967,156,86543049000
2019.3,KS,63386152607.56912,40454995153.508774,3985882295.5733166,4554123726.822117,851671411.6867332,516299896.70429444,509302945.9948157,313659974.87212116,62355176.310154684,41496054.267095886,122250104.93170664,87672210.01950563,1439,569,147987547000
2019.3,KY,71914080745.671875,46522485114.80084,620714235.7328063,2519875135.9808645,975986300.7841319,588893441.4678048,725713823.752746,462788378.4431926,3846777.021107721,2237027.312852356,56311294.54259251,37363620.38242084,1599,47,7696193000
2019.3,LA,84313604221.55092,49358200378.94419,627243603.3539928,966360328.2506907,1658911953.1532106,871259487.7933943,792805786.2293471,490470807.008847,11992626.866145838,10263557.249789504,21233901.50932683,13728018.225958196,1434,40,6713373000
2019.3,MA,283515105021.6912,163154654328.78427,120146722.26413675,163284407.74925658,2535977927.846815,1604680542.505151,1588719921.0291586,1065107432.9658655,3371913.6268555126,3315375.880250573,4343746.0875757,3186138.1160505572,2137,0,0
2019.3,MD,126546452259.13724,68668318829.21997,121621482.30859947,498812747.4256993,2257405259.6476026,1331667813.845057,1396047272.4073505,909621813.5419961,12503951.55110704,12085999.895534003,13605520.850366209,9935913.611603288,1447,0,0
2019.3,ME,27927279807.99487,20686570430.215687,165589578.97716036,40739083.26255207,307743520.6553073,193947881.79418314,229620695.59928635,148604022.8352798,9132567.714380091,7988772.684724989,802007.6508522773,704602.8372060022,463,0,0
2019.3,MH,129213533.55491857,78425075.0003015,7122.145986215713,62510.921605634314,4551871.100557161,2247831.254786211,2937065.403948662,1323796.8611501378,0,0,0,0,1,0,0
2019.3,MI,192618672345.9814,94225452152.79834,488962221.1628734,926778102.3492373,2657838829.7399817,1718480398.0441594,1783667896.0310278,1208087638.0117586,15239067.811514843,11715579.742188055,32766810.545365483,24709823.514368642,2437,46,10356799000
2019.3,MN,194086984940.4422,100985016716.20697,5024570786.795896,5339620730.902353,3311799155.1464634,2138236864.856678,2199728677.626896,1556505673.9870834,81718990.30171806,53925801.69491026,159803129.20694405,120761701.79899405,1668,382,139303849000
2019.3,MO,136110300775.9766,80888547286.01396,2776531260.7320247,6058545490.691255,1520001878.3075905,906469093.3109837,1005375368.1388239,630144169.687447,22830312.50524768,13593498.501532922,88597464.48240049,52974863.06870863,2279,331,100710709000
2019.3,MP,769340673.8629161,496734454.041552,35078.83449026865,732325.7278615315,12838747.518696025,5734343.1790866805,7849255.990204357,3554059.8872710313,0,0,25146.72659334146,22521.60561069863,8,0,0
2019.3,MS,45034122586.42054,31824917922.476143,640891258.0673904,1700134270.82864,753276514.8070748,427500268.7187297,550550123.7711384,302779062.3033954,12406184.3635972,8767453.407803245,38688981.78096683,19722972.080009934,1133,26,5548384000
2019.3,MT,20396533708.480568,13886678741.051579,1245635645.381564,1522791988.174064,330542600.00551814,193286994.77039054,212030647.76944956,130242972.76316568,28829806.62488265,12116441.789697148,40117340.81291769,25069517.831723772,382,94,118154271000
2019.3,NC,282336278883.21643,137495309669.2736,558621588.0273356,1324512342.7167914,3760946033.312273,2371235259.685436,2564027680.26432,1720499209.5198267,14638341.524867322,12816694.38420519,40139274.94044784,35082960.60436491,2247,0,0
2019.3,ND,25366751511.666042,14930918466.066978,2877601693.2071276,2371047649.4222193,357006101.37928444,218706770.23389745,234994593.4064625,152764531.8560435,30092573.98866505,16979019.008355808,52884080.04955297,32181627.159056693,423,216,104181488000
