year,district_br,stalpbr,loans,re_loans,agloans,agloans_re,loans_year,re_loans_year,agloans_year,agloans_re_year,loans_d,loans_d_alt,re_loans_d,re_loans_d_alt,agloans_d,agloans_d_alt,agloans_re_d,agloans_re_d_alt,loans_d_year,loans_d_alt_year,re_loans_d_year,re_loans_d_alt_year,agloans_d_year,agloans_d_alt_year,agloans_re_d_year,agloans_re_d_alt_year,total_branches,total_ag_branches,total_ag_branch_deposits
1994,NA,AK,78156031.71791412,35423104.546249926,685824.8580950086,67513.09821898278,76435662.76046959,35045298.70794055,661420.659585977,61192.26276197162,560159.6288673315,560159.6288673315,196739.98441303964,196739.98441303964,120415.67399265166,120415.67399265166,0,0,503041.29417143215,503041.29417143215,200579.049420846,200579.049420846,32331.608467026974,32331.608467026974,0,0,10,0,0
1994,NA,AS,84805282.6403031,39235016.71438685,307287.844491962,51448.48395347463,86609282.060716,40110706.95409909,290113.7739625908,50653.119167673125,498356.890073337,498356.890073337,203228.51474903838,203228.51474903838,76158.41241124037,76158.41241124037,652.3778580169616,652.3778580169616,589263.1377140703,589263.1377140703,307203.79455929436,307203.79455929436,76069.04558137503,76069.04558137503,3418.281242349148,3418.281242349148,4,0,0
1994,NA,FM,100969076.86986503,31167468.25333962,309373.994233001,51797.76311762068,102307696.58466314,31702982.685335934,292083.3304721382,50996.99867129998,493863.6405648993,493863.6405648993,185001.79295476963,185001.79295476963,76675.4450735389,76675.4450735389,656.8067930495587,656.8067930495587,602671.5758099862,602671.5758099862,296483.94009169453,296483.94009169453,76585.47154024444,76585.47154024444,3441.4876485130985,3441.4876485130985,5,0,0
1994,NA,MH,49784499.52227386,20861144.414178126,198385.46170813742,33215.21311774748,50052327.00792512,21214385.88794705,187297.85778091298,32701.72450084988,341831.0421254351,341831.0421254351,123447.06498409215,123447.06498409215,49167.97745170124,49167.97745170124,421.1760565564645,421.1760565564645,414458.3350644292,414458.3350644292,198454.7417381285,198454.7417381285,49110.282101488025,49110.282101488025,2206.8471456554475,2206.8471456554475,5,0,0
1994,NA,MP,112447630.520534,43984483.15652083,154890.77004086625,39312.61490469388,112085343.5556347,43761105.42770294,224308.08073645592,32830.46369265064,3878853.997432739,3878853.997432739,2884837.0944475303,2884837.0944475303,3674.773492870555,3674.773492870555,4197.076324344543,4197.076324344543,3060678.2704740833,3060678.2704740833,2155849.2393811955,2155849.2393811955,2881.9924093832524,2881.9924093832524,2098.5381621722713,2098.5381621722713,1,0,0
1994,NA,PW,59216101.121629,26271703.204997666,270119.49814116606,45225.47479420366,59719005.00470785,26728682.62775446,255022.73660116937,44526.31424935667,404160.57084182464,404160.57084182464,156349.5887412293,156349.5887412293,66946.5861032141,66946.5861032141,573.4687615037116,573.4687615037116,496092.66800750967,496092.66800750967,249900.792753701,249900.792753701,66868.02873862456,66868.02873862456,3004.8191955502693,3004.8191955502693,2,0,0
1994,ALABAMA MIDDLE,AL,6498847188.730428,3713140283.663602,127456919.86261085,105106723.27497879,6623827318.840526,3805408452.6673207,115061031.68694372,104108215.01478349,38574253.02927557,38574253.02927557,19951305.09344864,19951305.09344864,387594.1064485084,387594.1064485084,1074912.7636743668,1074912.7636743668,39361138.29268544,39361138.29268544,20317149.435851604,20317149.435851604,356212.741893804,356212.741893804,869793.44793473,869793.44793473,319,12,379777000
1994,ALABAMA NORTHERN,AL,21465891984.870064,11670112368.281914,150368863.15982923,175451276.1784243,21940976781.24066,11995199709.971819,145246292.36797786,178528800.63147706,148437112.52451286,148437112.52451286,83036639.96623687,83036639.96623687,350641.0373275978,350641.0373275978,1226938.868437622,1226938.868437622,149192967.17801964,149192967.17801964,79953855.55630499,79953855.55630499,571534.1479610302,571534.1479610302,1220025.3661401793,1220025.3661401793,783,3,59210000
1994,ALABAMA SOUTHERN,AL,4932270783.326619,2643433704.604064,65038411.22292929,55335259.60871144,5073617175.746101,2736645921.5221686,64934255.60339365,55296246.416771054,34848141.30987749,34848141.30987749,17159690.319159776,17159690.319159776,143764.85622389393,143764.85622389393,314146.6698356772,314146.6698356772,34159033.149174415,34159033.149174415,17373867.5106984,17373867.5106984,139752.15499072787,139752.15499072787,371013.1395909027,371013.1395909027,233,5,152307000
1994,ALASKA,AK,2746772671.0024676,1312024725.7994387,2212620.8342632777,3704697.1895514084,2721230487.731587,1326140424.5178432,2313580.412521051,3352227.026250377,25772886.84877923,25772886.84877923,11554873.052408414,11554873.052408414,379584.3260073483,379584.3260073483,0,0,24630609.42901897,24630609.42901897,10806912.27765492,10806912.27765492,101918.39153297301,101918.39153297301,0,0,117,0,0
